고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,본번,부번,건축물대장고유번호,기준년도,기준월,동코드,동명,토지대장면적,산정대지면적,건물전체연면적,건물산정연면적,주택가격,표준지여부,데이터기준일자
2826010300105220000,2826010300,인천광역시 서구 검암동,1,일반,522,3,2826010300105220000,2020,01,0,0,238,238,477.92,477.92,520000000,N,2020-04-29
2826010300105220000,2826010300,인천광역시 서구 검암동,1,일반,522,5,2826010300105220000,2020,01,0,0,176,176,348.3,348.3,363000000,N,2020-04-29
2826010300105220000,2826010300,인천광역시 서구 검암동,1,일반,522,14,2826010300105220000,2020,01,0,0,267.9,267.9,514.7,514.7,571000000,N,2020-04-29
2826010300105220000,2826010300,인천광역시 서구 검암동,1,일반,522,15,2826010300105220000,2020,01,0,0,264.5,264.5,505.56,505.56,563000000,N,2020-04-29
2826010300105220000,2826010300,인천광역시 서구 검암동,1,일반,522,16,2826010300105220000,2020,01,0,0,280.9,280.9,504.5,504.5,595000000,N,2020-04-29
2826010300105220000,2826010300,인천광역시 서구 검암동,1,일반,522,17,2826010300105220000,2020,01,0,0,314,314,625.43,625.43,674000000,N,2020-04-29
2826010300105230000,2826010300,인천광역시 서구 검암동,1,일반,523,1,2826010300105230000,2020,01,0,0,334.8,334.8,654.36,654.36,735000000,N,2020-04-29
2826010300105230000,2826010300,인천광역시 서구 검암동,1,일반,523,3,2826010300105230000,2020,01,0,0,260.6,260.6,500.93,500.93,580000000,N,2020-04-29
2826010300105230000,2826010300,인천광역시 서구 검암동,1,일반,523,4,2826010300105230000,2020,01,0,0,238.1,238.1,446.4,446.4,489000000,N,2020-04-29
2826010300105230000,2826010300,인천광역시 서구 검암동,1,일반,523,8,2826010300105230000,2020,01,0,0,352.3,352.3,691.96,691.96,767000000,N,2020-04-29
2826010300105230000,2826010300,인천광역시 서구 검암동,1,일반,523,14,2826010300105230000,2020,01,0,0,238.2,238.2,446.4,446.4,489000000,N,2020-04-29
2826010300105240000,2826010300,인천광역시 서구 검암동,1,일반,524,2,2826010300105240000,2020,01,0,0,121.9,121.9,250.82,250.82,324000000,N,2020-04-29
2826010300105240000,2826010300,인천광역시 서구 검암동,1,일반,524,8,2826010300105240000,2020,01,0,0,199.3,40.34,562.26,111.13,158000000,N,2020-04-29
2826010300105250000,2826010300,인천광역시 서구 검암동,1,일반,525,7,2826010300105250000,2020,01,0,0,143.6,66.2,129.72,59.8,108000000,N,2020-04-29
2826010300105260000,2826010300,인천광역시 서구 검암동,1,일반,526,2,2826010300105260000,2020,01,0,0,335.8,335.8,530.56,530.56,818000000,N,2020-04-29
2826010300105270000,2826010300,인천광역시 서구 검암동,1,일반,527,7,2826010300105270000,2020,01,0,0,215.7,215.7,419.32,419.32,487000000,N,2020-04-29
2826010300105270000,2826010300,인천광역시 서구 검암동,1,일반,527,9,2826010300105270000,2020,01,0,0,265.7,265.7,483.28,483.28,569000000,N,2020-04-29
2826010300105270000,2826010300,인천광역시 서구 검암동,1,일반,527,14,2826010300105270000,2020,01,0,0,243,243,170.81,170.81,395000000,N,2020-04-29
2826010300105280000,2826010300,인천광역시 서구 검암동,1,일반,528,2,2826010300105280000,2020,01,0,0,334.4,334.4,656.76,656.76,724000000,N,2020-04-29
2826010300105280000,2826010300,인천광역시 서구 검암동,1,일반,528,6,2826010300105280000,2020,01,0,0,248.7,248.7,485.3,485.3,542000000,N,2020-04-29
2826010300105280000,2826010300,인천광역시 서구 검암동,1,일반,528,7,2826010300105280000,2020,01,0,0,147.6,147.6,99.02,99.02,254000000,N,2020-04-29
2826010300105280000,2826010300,인천광역시 서구 검암동,1,일반,528,10,2826010300105280000,2020,01,0,0,147.5,95.14,206.08,132.93,190000000,N,2020-04-29
2826010300105280000,2826010300,인천광역시 서구 검암동,1,일반,528,13,2826010300105280000,2020,01,0,0,334.5,334.5,648.72,648.72,744000000,N,2020-04-29
2826010300105280000,2826010300,인천광역시 서구 검암동,1,일반,528,14,2826010300105280000,2020,01,0,0,334.5,334.5,665.36,665.36,728000000,N,2020-04-29
2826010300105290000,2826010300,인천광역시 서구 검암동,1,일반,529,3,2826010300105290000,2020,01,0,0,198.2,198.2,439.45,439.45,491000000,N,2020-04-29
2826010300105290000,2826010300,인천광역시 서구 검암동,1,일반,529,6,2826010300105290000,2020,01,0,0,214.6,214.6,397.31,397.31,431000000,N,2020-04-29
2826010300105290000,2826010300,인천광역시 서구 검암동,1,일반,529,8,2826010300105290000,2020,01,0,0,212.2,212.2,397.31,397.31,429000000,N,2020-04-29
2826010300105290000,2826010300,인천광역시 서구 검암동,1,일반,529,9,2826010300105290000,2020,01,0,0,219.4,219.4,422.64,422.64,476000000,N,2020-04-29
2826010300105300000,2826010300,인천광역시 서구 검암동,1,일반,530,2,2826010300105300000,2020,01,0,0,206.9,193.53,294.14,275.14,389000000,N,2020-04-29
2826010300105300000,2826010300,인천광역시 서구 검암동,1,일반,530,5,2826010300105300000,2020,01,0,0,248.5,248.5,482.04,482.04,557000000,N,2020-04-29
2826010300105300000,2826010300,인천광역시 서구 검암동,1,일반,530,11,2826010300105300000,2020,01,0,0,248.1,248.1,482.04,482.04,556000000,N,2020-04-29
2826010300105300000,2826010300,인천광역시 서구 검암동,1,일반,530,12,2826010300105300000,2020,01,0,0,304,304,161.56,161.56,427000000,N,2020-04-29
2826010300105300000,2826010300,인천광역시 서구 검암동,1,일반,530,16,2826010300105300000,2020,01,0,0,250.3,250.3,472.64,472.64,549000000,N,2020-04-29
2826010300105300000,2826010300,인천광역시 서구 검암동,1,일반,530,17,2826010300105300000,2020,01,0,0,250.6,167.78,350.76,234.84,397000000,N,2020-04-29
2826010300105310000,2826010300,인천광역시 서구 검암동,1,일반,531,2,2826010300105310000,2020,01,0,0,317.6,317.6,626.86,626.86,673000000,N,2020-04-29
2826010300105310000,2826010300,인천광역시 서구 검암동,1,일반,531,3,2826010300105310000,2020,01,0,0,231.5,231.5,462.36,462.36,476000000,N,2020-04-29
2826010300105310000,2826010300,인천광역시 서구 검암동,1,일반,531,4,2826010300105310000,2020,01,0,0,243.3,243.3,493.66,493.66,528000000,N,2020-04-29
2826010300105310000,2826010300,인천광역시 서구 검암동,1,일반,531,12,2826010300105310000,2020,01,0,0,345.8,345.8,532.44,532.44,677000000,N,2020-04-29
2826010300105310000,2826010300,인천광역시 서구 검암동,1,일반,531,13,2826010300105310000,2020,01,0,0,272,272,507.39,507.39,522000000,N,2020-04-29
2826010300105320000,2826010300,인천광역시 서구 검암동,1,일반,532,2,2826010300105320000,2020,01,0,0,226.4,226.4,413.61,413.61,490000000,N,2020-04-29
2826010300105320000,2826010300,인천광역시 서구 검암동,1,일반,532,3,2826010300105320000,2020,01,0,0,212,212,407.33,407.33,463000000,N,2020-04-29
2826010300105320000,2826010300,인천광역시 서구 검암동,1,일반,532,4,2826010300105320000,2020,01,0,0,218.4,218.4,417.3,417.3,483000000,N,2020-04-29
2826010300105320000,2826010300,인천광역시 서구 검암동,1,일반,532,5,2826010300105320000,2020,01,0,0,295.6,295.6,561.68,561.68,647000000,N,2020-04-29
2826010300105320000,2826010300,인천광역시 서구 검암동,1,일반,532,6,2826010300105320000,2020,01,0,0,214,214,385.47,385.47,456000000,N,2020-04-29
2826010300105320000,2826010300,인천광역시 서구 검암동,1,일반,532,7,2826010300105320000,2020,01,0,0,291.7,291.7,92.6,92.6,365000000,N,2020-04-29
2826010300105320000,2826010300,인천광역시 서구 검암동,1,일반,532,9,2826010300105320000,2020,01,0,0,158.1,158.1,165.42,165.42,283000000,N,2020-04-29
